# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230722
# End date: 20240120
Session default channel group,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
Organic Search,10458,14970,10228,77.23233132932532,0.9780072671638936,7.117635270541082,0.6832331329325317,106551,0,0
Direct,5371,7008,4003,56.867009132420094,0.7452988270340719,7.382134703196347,0.5712043378995434,51734,0,0
Referral,3987,5594,4476,91.20968895244906,1.1226486079759217,9.884697890597069,0.8001430103682518,55295,0,0
Organic Social,868,1106,578,32.392405063291136,0.6658986175115207,5.1338155515370705,0.5226039783001808,5678,0,0
Unassigned,304,320,4,115.4875,0.013157894736842105,7.428125,0.0125,2377,0,0
Email,163,286,144,44.49650349650349,0.8834355828220859,5.916083916083916,0.5034965034965035,1692,0,0
Organic Video,19,25,19,94.8,1,7.52,0.76,188,0,0
